60,7,system,26,47,54,-1
61,7,system,47,12,54,-1
62,7,system,47,12,59,-1
63,7,system,47,47,59,-1
64,7,system,47,16,54,-1
65,7,system,47,31,54,-1
66,7,system,47,37,54,-1
67,7,system,47,45,52,-1
68,7,system,45,16,52,-1
133,7,system,10,12,132,-1
134,7,system,10,16,132,-1
135,7,system,10,31,132,-1
136,7,system,10,37,132,-1
158,7,system,153,153,157,-1
159,7,system,143,12,132,-1
160,7,system,143,16,132,-1
161,7,system,143,31,132,-1
162,7,system,143,37,132,-1
163,7,system,143,153,132,-1
164,7,system,143,10,132,-1
165,7,system,10,153,132,-1
184,7,system,178,10,182,-1
209,7,system,153,16,208,-1
591,7,system,178,335,182,-1
